City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,rexburg,43.826,-111.7897,23.23,38,0,2.06,US,1749490790
350,pendleton,45.6721,-118.7886,32.8,30,0,2.06,US,1749490791
351,lazaro cardenas,17.9583,-102.2,31.49,58,100,3.47,MX,1749490792
352,kangding,30.0513,101.9603,11.49,96,100,1.18,CN,1749490794
353,aasiaat,68.7098,-52.8699,2.73,73,15,4.49,GL,1749490597
354,igarka,67.4667,86.5833,9.58,91,100,2.15,RU,1749490798
355,swift current,50.2834,-107.8014,25.45,23,0,6.69,CA,1749490799
356,la sarre,48.8002,-79.1996,15.89,91,100,3.79,CA,1749490800
357,tezu,27.9167,96.1667,24.27,87,0,2.14,IN,1749490801
358,akom ii,2.7833,10.5667,22.06,97,90,0.59,CM,1749490802
359,luanda,-8.8368,13.2343,23.12,89,31,7.06,AO,1749490596
360,santana,-0.0583,-51.1817,31.1,70,20,4.63,BR,1749490804
361,puerto cabezas,14.0351,-83.3888,29.98,79,75,5.14,NI,1749490805
